item_id,export_date,export_filename,name,category_group,category,supplier,price,cost,gross_margin,barcode
92663857be,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Bottle,Accessories,Scarves,Meridian Leather Works,77.94,26.71,0.6573,4fd9f3bb82
efdd0204c0,2026-03-02 09:00:00,retail_items_20260302.csv,Signature Tumbler,Apparel,Outerwear,Northline Apparel Group,12.76,5.52,0.5674,bd90ace0fc
4c92fe75c0,2026-03-02 09:00:00,retail_items_20260302.csv,Heritage Bracelet,Gifts,Kids,Willow Paper Goods,191.58,59.96,0.687,2706283c31
598b932d91,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Earrings,Apparel,Outerwear,Northline Apparel Group,82.63,41.53,0.4974,6c09afd7b8
69ceada5df,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Bracelet,Gifts,Kids,Willow Paper Goods,116.74,45.13,0.6134,06210deae2
ce445b794f,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Cardigan,Accessories,Bags,Meridian Leather Works,20.36,10.65,0.4769,52eb5d44a4
fd69e37d66,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Vase,Apparel,Tops,Northline Apparel Group,89.85,34.78,0.6129,472205bda7
18d0617483,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Necklace,Wine & Spirits,Red Wine,Cascadia Beverage Imports,62.89,21.51,0.658,6c2c0d8eb8
abffc6eb20,2026-03-02 09:00:00,retail_items_20260302.csv,Signature Bracelet,Home Decor,Candles,Aurora Home Co.,154.75,55.1,0.6439,bffbb13f57
0d50862b01,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Wrap,Home Decor,Tabletop,Aurora Home Co.,118.74,62.88,0.4704,62ec8628a9
16712a93b7,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Scarf,Apparel,Tops,Northline Apparel Group,71.13,25.58,0.6404,f912c88603
fbe76afa97,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Bottle,Accessories,Scarves,Meridian Leather Works,64.17,34.11,0.4684,af9a0479ce
24901169a4,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Bracelet,Accessories,Bags,Meridian Leather Works,160.95,57.78,0.641,d0d7ef314a
3ff813895e,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Candle,Accessories,Bags,Meridian Leather Works,184.34,57.96,0.6856,a563bdd3de
8d71beece9,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Tote,Accessories,Scarves,Meridian Leather Works,109.45,45.75,0.582,7e52de6fba
eb2b3e41e1,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Cardigan,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,89.85,39.72,0.5579,fbdce65fd6
63c5a65785,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Vase,Apparel,Tops,Northline Apparel Group,56.1,33.0,0.4118,5931bc5577
e68a4b2a1c,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Bottle,Wine & Spirits,Red Wine,Cascadia Beverage Imports,121.59,64.92,0.4661,584d3a9e57
3ec5369f32,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Necklace,Home Decor,Candles,Aurora Home Co.,109.65,58.72,0.4645,012a08b615
b8829bd88e,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Notebook,Accessories,Scarves,Meridian Leather Works,59.76,31.61,0.4711,2f54448af4
eb96c5bd41,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Scarf,Jewelry,Fashion Jewelry,Northline Apparel Group,34.62,11.72,0.6615,ca91faee1f
151724ae73,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Candle,Gifts,Stationery,Willow Paper Goods,74.18,28.34,0.618,e2f64529be
876b4faad0,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Candle,Accessories,Bags,Meridian Leather Works,48.71,16.64,0.6584,23741263b4
10e55b6678,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Notebook,Apparel,Outerwear,Northline Apparel Group,113.78,63.2,0.4445,63100e3565
d89585ffeb,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Earrings,Accessories,Bags,Meridian Leather Works,25.81,10.0,0.6126,61871abca0
6af3a6d7a7,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Notebook,Home Decor,Tabletop,Aurora Home Co.,18.61,10.83,0.4181,f8c663ef27
75b052da5c,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Wrap,Apparel,Outerwear,Northline Apparel Group,105.7,38.9,0.632,eb264c0545
c1c48da2dc,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Necklace,Wine & Spirits,White Wine,Cascadia Beverage Imports,56.11,33.15,0.4092,48a5e9a140
ae309fab22,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Candle,Apparel,Outerwear,Northline Apparel Group,11.34,5.18,0.5432,654dd9f4b4
e4b31e0f89,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Scarf,Gifts,Kids,Willow Paper Goods,151.49,50.39,0.6674,fd208f4d0b
696fca8aec,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Bottle,Apparel,Tops,Northline Apparel Group,84.06,39.02,0.5358,fd66f592c5
79d859b9e0,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Necklace,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,47.97,16.19,0.6625,b310b9f114
ff2caeca63,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Necklace,Wine & Spirits,White Wine,Cascadia Beverage Imports,84.17,29.49,0.6496,0db67601fe
f67dc05345,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Tumbler,Home Decor,Tabletop,Aurora Home Co.,45.14,20.41,0.5479,baa73548ff
a1b52dd5ee,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Cardigan,Accessories,Scarves,Meridian Leather Works,25.06,11.09,0.5575,f0e070f4c7
b78625e915,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Vase,Jewelry,Fine Jewelry,Northline Apparel Group,130.69,62.56,0.5213,06083200c4
4bcdf37dc6,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Bottle,Accessories,Scarves,Meridian Leather Works,192.68,58.48,0.6965,a66a4dd7ce
5324b99976,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Candle,Wine & Spirits,White Wine,Cascadia Beverage Imports,89.16,45.5,0.4897,77e1bdeacc
a910612d6f,2026-03-02 09:00:00,retail_items_20260302.csv,Heritage Scarf,Home Decor,Tabletop,Aurora Home Co.,89.69,41.04,0.5424,5e2ba039c5
de7a0de61e,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Earrings,Gifts,Kids,Willow Paper Goods,88.81,44.04,0.5041,ba22914cf3
a525d8de6f,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Wrap,Wine & Spirits,White Wine,Vantage Jewelry Supply Co.,162.52,55.39,0.6592,c403bb792f
76c4a1c4a7,2026-03-02 09:00:00,retail_items_20260302.csv,Heritage Vase,Accessories,Scarves,Meridian Leather Works,35.19,18.5,0.4743,45cfa98c24
366d913122,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Vase,Wine & Spirits,Red Wine,Cascadia Beverage Imports,140.97,59.37,0.5788,5e5715e5ee
5c4a0cb26d,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Cardigan,Gifts,Kids,Willow Paper Goods,121.56,38.13,0.6863,00e19fd1b8
ea06aa983d,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Vase,Jewelry,Fashion Jewelry,Northline Apparel Group,51.09,17.04,0.6665,3a90b89ea0
6a8b891d20,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Tumbler,Accessories,Scarves,Meridian Leather Works,37.92,19.99,0.4728,2ddec709cf
28bff27ee4,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Bracelet,Gifts,Stationery,Willow Paper Goods,123.18,60.66,0.5075,796d42d8cd
3800bffa41,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Wrap,Home Decor,Tabletop,Aurora Home Co.,174.44,59.95,0.6563,be730e6294
287df149f6,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Wrap,Accessories,Bags,Meridian Leather Works,100.62,36.69,0.6354,35150c31c3
bd08b8a16b,2026-03-02 09:00:00,retail_items_20260302.csv,Signature Tote,Wine & Spirits,White Wine,Cascadia Beverage Imports,13.52,5.23,0.6132,17e22dd65c
0fdd317282,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Wrap,Wine & Spirits,White Wine,Cascadia Beverage Imports,61.56,20.04,0.6745,19782f0f02
4f4cff6860,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Cardigan,Home Decor,Tabletop,Aurora Home Co.,20.7,7.05,0.6594,9989c46a98
61a0327535,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Cardigan,Apparel,Tops,Northline Apparel Group,60.59,27.9,0.5395,2308aaedfa
61d3f7cd9d,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Necklace,Apparel,Outerwear,Northline Apparel Group,130.2,40.04,0.6925,cd654bf383
d8804cdeb1,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Notebook,Apparel,Tops,Northline Apparel Group,147.01,62.09,0.5776,a2388f53dc
a90f75939e,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Bottle,Accessories,Bags,Meridian Leather Works,76.43,31.42,0.5889,ef7bc742e6
aa93d0dac7,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Bracelet,Jewelry,Fashion Jewelry,Northline Apparel Group,49.22,16.96,0.6554,5b411716bb
fa993180b5,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Vase,Gifts,Kids,Willow Paper Goods,192.27,58.07,0.698,a141665017
ec649f2299,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Vase,Gifts,Kids,Willow Paper Goods,44.7,20.4,0.5436,c8549792ad
f7e473b023,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Vase,Gifts,Stationery,Willow Paper Goods,8.13,4.36,0.4637,ba5ad74d54
7f2e0d9bca,2026-03-02 09:00:00,retail_items_20260302.csv,Signature Vase,Wine & Spirits,Red Wine,Cascadia Beverage Imports,113.16,46.44,0.5896,76b751a164
6f48554ca5,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Notebook,Gifts,Stationery,Willow Paper Goods,17.48,5.55,0.6825,a0d27f1263
fd310f1b1b,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Necklace,Jewelry,Fashion Jewelry,Northline Apparel Group,141.25,44.5,0.685,c5b1becfb8
ca527034d4,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Tumbler,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,12.45,6.08,0.5116,ce38e8a768
9abd234dcf,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Bracelet,Apparel,Outerwear,Northline Apparel Group,14.31,6.3,0.5597,c6d7c9e49b
38b73b6b92,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Earrings,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,28.9,11.23,0.6114,3c55e12312
ac4ef82a37,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Cardigan,Accessories,Scarves,Meridian Leather Works,44.58,24.31,0.4547,fdc6b658ec
c41ffeecab,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Notebook,Accessories,Bags,Meridian Leather Works,69.59,33.47,0.519,57fd1b1197
bf9632259b,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Earrings,Wine & Spirits,White Wine,Cascadia Beverage Imports,140.9,51.43,0.635,4ffb8d4c75
9cd79d15ec,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Tote,Home Decor,Candles,Aurora Home Co.,97.54,56.53,0.4204,e933c5178d
7635b7f716,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Earrings,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,14.51,6.39,0.5596,f1525276f0
436e35f4c6,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Wrap,Gifts,Stationery,Willow Paper Goods,100.74,43.77,0.5655,f629ab96e6
e881d11574,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Scarf,Accessories,Bags,Meridian Leather Works,46.62,23.86,0.4882,df06419366
0f9b4f69c1,2026-03-02 09:00:00,retail_items_20260302.csv,Heritage Necklace,Home Decor,Candles,Aurora Home Co.,73.16,23.51,0.6786,82d2affe92
cd333fcb20,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Candle,Home Decor,Candles,Meridian Leather Works,115.05,45.64,0.6033,d2bbbbc928
cfe8adb1f1,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Notebook,Gifts,Kids,Willow Paper Goods,87.62,36.79,0.5801,9f54884458
b4d1cce619,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Wrap,Apparel,Outerwear,Northline Apparel Group,91.44,46.84,0.4878,9ac6f47c44
9fe350c069,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Vase,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,141.99,52.97,0.6269,e88326409e
7f6aec391e,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Earrings,Jewelry,Fashion Jewelry,Northline Apparel Group,22.99,7.69,0.6655,4c0bd9feb5
e48cb9f3a7,2026-03-02 09:00:00,retail_items_20260302.csv,Heritage Scarf,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,112.96,47.94,0.5756,5276f0ed51
e9608f5248,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Bottle,Home Decor,Tabletop,Aurora Home Co.,113.39,42.01,0.6295,cb817ff45c
332fd1efa0,2026-03-02 09:00:00,retail_items_20260302.csv,Signature Vase,Accessories,Bags,Meridian Leather Works,134.65,63.57,0.5279,3f6935ff81
c77ff8d851,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Bracelet,Accessories,Bags,Meridian Leather Works,149.0,61.96,0.5842,f07a411d64
ad92d680e8,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Necklace,Jewelry,Fine Jewelry,Meridian Leather Works,43.83,15.01,0.6575,3932c79c26
b5d217f2b3,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Bracelet,Gifts,Stationery,Willow Paper Goods,122.38,39.62,0.6763,66411039fa
61fc056685,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Wrap,Wine & Spirits,Red Wine,Cascadia Beverage Imports,154.62,51.75,0.6653,8ea76612b3
d363333e01,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Cardigan,Home Decor,Tabletop,Aurora Home Co.,15.39,5.71,0.629,f9262d2ff1
1ab091c4e7,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Necklace,Apparel,Tops,Northline Apparel Group,159.96,58.82,0.6323,7c3ee84f67
5d752e75ca,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Bracelet,Wine & Spirits,White Wine,Cascadia Beverage Imports,103.79,32.23,0.6895,2bee33a455
6a84f4bafc,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Earrings,Apparel,Outerwear,Northline Apparel Group,71.83,31.96,0.5551,3177245292
a2c74f7d65,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Bracelet,Apparel,Outerwear,Northline Apparel Group,134.16,60.69,0.5476,0f63eb4ff7
414e1646bf,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Necklace,Apparel,Tops,Northline Apparel Group,102.32,52.75,0.4845,010ab70a44
93f057cc55,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Necklace,Gifts,Stationery,Willow Paper Goods,120.18,51.69,0.5699,5293b8b2d2
2e1ea8db24,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Tumbler,Accessories,Scarves,Meridian Leather Works,62.49,32.56,0.479,bbf772196a
64906c5754,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Tote,Accessories,Bags,Meridian Leather Works,53.56,17.9,0.6658,6df19a6f21
a307d76e09,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Bracelet,Apparel,Tops,Northline Apparel Group,38.36,18.23,0.5248,0915032216
f920903374,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Wrap,Home Decor,Candles,Aurora Home Co.,121.47,55.28,0.5449,0bbd398d30
